Gear No,Input Speed [rpm],Input Torque [Nm],Torque Loss [Nm]
1,0,-5500,229.6
1,0,-5000,209.6
1,0,-4500,169.6
1,0,-4000,169.6
1,0,-3500,149.6
1,0,-3000,129.6
1,0,-2500,109.6
1,0,-2000,89.6
1,0,-1600,73.6
1,0,-1200,57.6
1,0,-900,45.6
1,0,-600,33.6
1,0,-400,25.6
1,0,-200,17.6
1,0,0,17.6
1,0,200,17.6
1,0,400,25.6
1,0,600,33.6
1,0,900,45.6
1,0,1200,57.6
1,0,1600,73.6
1,0,2000,89.6
1,0,2500,109.6
1,0,3000,129.6
1,0,3500,149.6
1,0,4000,169.6
1,0,4500,189.6
1,0,5000,209.6
1,0,5500,229.6
1,600,-5500,229.6
1,600,-5000,209.6
1,600,-4500,169.6
1,600,-4000,169.6
1,600,-3500,149.6
1,600,-3000,129.6
1,600,-2500,109.6
1,600,-2000,89.6
1,600,-1600,73.6
1,600,-1200,57.6
1,600,-900,45.6
1,600,-600,33.6
1,600,-400,25.6
1,600,-200,17.6
1,600,0,17.6
1,600,200,17.6
1,600,400,25.6
1,600,600,33.6
1,600,900,45.6
1,600,1200,57.6
1,600,1600,73.6
1,600,2000,89.6
1,600,2500,109.6
1,600,3000,129.6
1,600,3500,149.6
1,600,4000,169.6
1,600,4500,189.6
1,600,5000,209.6
1,600,5500,229.6
1,900,-5500,231.4
1,900,-5000,211.4
1,900,-4500,171.4
1,900,-4000,171.4
1,900,-3500,151.4
1,900,-3000,131.4
1,900,-2500,111.4
1,900,-2000,91.4
1,900,-1600,75.4
1,900,-1200,59.4
1,900,-900,47.4
1,900,-600,35.4
1,900,-400,27.4
1,900,-200,19.4
1,900,0,19.4
1,900,200,19.4
1,900,400,27.4
1,900,600,35.4
1,900,900,47.4
1,900,1200,59.4
1,900,1600,75.4
1,900,2000,91.4
1,900,2500,111.4
1,900,3000,131.4
1,900,3500,151.4
1,900,4000,171.4
1,900,4500,191.4
1,900,5000,211.4
1,900,5500,231.4
1,1200,-5500,233.2
1,1200,-5000,213.2
1,1200,-4500,173.2
1,1200,-4000,173.2
1,1200,-3500,153.2
1,1200,-3000,133.2
1,1200,-2500,113.2
1,1200,-2000,93.2
1,1200,-1600,77.2
1,1200,-1200,61.2
1,1200,-900,49.2
1,1200,-600,37.2
1,1200,-400,29.2
1,1200,-200,21.2
1,1200,0,21.2
1,1200,200,21.2
1,1200,400,29.2
1,1200,600,37.2
1,1200,900,49.2
1,1200,1200,61.2
1,1200,1600,77.2
1,1200,2000,93.2
1,1200,2500,113.2
1,1200,3000,133.2
1,1200,3500,153.2
1,1200,4000,173.2
1,1200,4500,193.2
1,1200,5000,213.2
1,1200,5500,233.2
1,1600,-5500,235.6
1,1600,-5000,215.6
1,1600,-4500,175.6
1,1600,-4000,175.6
1,1600,-3500,155.6
1,1600,-3000,135.6
1,1600,-2500,115.6
1,1600,-2000,95.6
1,1600,-1600,79.6
1,1600,-1200,63.6
1,1600,-900,51.6
1,1600,-600,39.6
1,1600,-400,31.6
1,1600,-200,23.6
1,1600,0,23.6
1,1600,200,23.6
1,1600,400,31.6
1,1600,600,39.6
1,1600,900,51.6
1,1600,1200,63.6
1,1600,1600,79.6
1,1600,2000,95.6
1,1600,2500,115.6
1,1600,3000,135.6
1,1600,3500,155.6
1,1600,4000,175.6
1,1600,4500,195.6
1,1600,5000,215.6
1,1600,5500,235.6
1,2000,-5500,238
1,2000,-5000,218
1,2000,-4500,178
1,2000,-4000,178
1,2000,-3500,158
1,2000,-3000,138
1,2000,-2500,118
1,2000,-2000,98
1,2000,-1600,82
1,2000,-1200,66
1,2000,-900,54
1,2000,-600,42
1,2000,-400,34
1,2000,-200,26
1,2000,0,26
1,2000,200,26
1,2000,400,34
1,2000,600,42
1,2000,900,54
1,2000,1200,66
1,2000,1600,82
1,2000,2000,98
1,2000,2500,118
1,2000,3000,138
1,2000,3500,158
1,2000,4000,178
1,2000,4500,198
1,2000,5000,218
1,2000,5500,238
1,2500,-5500,241
1,2500,-5000,221
1,2500,-4500,181
1,2500,-4000,181
1,2500,-3500,161
1,2500,-3000,141
1,2500,-2500,121
1,2500,-2000,101
1,2500,-1600,85
1,2500,-1200,69
1,2500,-900,57
1,2500,-600,45
1,2500,-400,37
1,2500,-200,29
1,2500,0,29
1,2500,200,29
1,2500,400,37
1,2500,600,45
1,2500,900,57
1,2500,1200,69
1,2500,1600,85
1,2500,2000,101
1,2500,2500,121
1,2500,3000,141
1,2500,3500,161
1,2500,4000,181
1,2500,4500,201
1,2500,5000,221
1,2500,5500,241
1,3000,-5500,244
1,3000,-5000,224
1,3000,-4500,184
1,3000,-4000,184
1,3000,-3500,164
1,3000,-3000,144
1,3000,-2500,124
1,3000,-2000,104
1,3000,-1600,88
1,3000,-1200,72
1,3000,-900,60
1,3000,-600,48
1,3000,-400,40
1,3000,-200,32
1,3000,0,32
1,3000,200,32
1,3000,400,40
1,3000,600,48
1,3000,900,60
1,3000,1200,72
1,3000,1600,88
1,3000,2000,104
1,3000,2500,124
1,3000,3000,144
1,3000,3500,164
1,3000,4000,184
1,3000,4500,204
1,3000,5000,224
1,3000,5500,244
2,0,-5500,229.6
2,0,-5000,209.6
2,0,-4500,169.6
2,0,-4000,169.6
2,0,-3500,149.6
2,0,-3000,129.6
2,0,-2500,109.6
2,0,-2000,89.6
2,0,-1600,73.6
2,0,-1200,57.6
2,0,-900,45.6
2,0,-600,33.6
2,0,-400,25.6
2,0,-200,17.6
2,0,0,17.6
2,0,200,17.6
2,0,400,25.6
2,0,600,33.6
2,0,900,45.6
2,0,1200,57.6
2,0,1600,73.6
2,0,2000,89.6
2,0,2500,109.6
2,0,3000,129.6
2,0,3500,149.6
2,0,4000,169.6
2,0,4500,189.6
2,0,5000,209.6
2,0,5500,229.6
2,600,-5500,229.6
2,600,-5000,209.6
2,600,-4500,169.6
2,600,-4000,169.6
2,600,-3500,149.6
2,600,-3000,129.6
2,600,-2500,109.6
2,600,-2000,89.6
2,600,-1600,73.6
2,600,-1200,57.6
2,600,-900,45.6
2,600,-600,33.6
2,600,-400,25.6
2,600,-200,17.6
2,600,0,17.6
2,600,200,17.6
2,600,400,25.6
2,600,600,33.6
2,600,900,45.6
2,600,1200,57.6
2,600,1600,73.6
2,600,2000,89.6
2,600,2500,109.6
2,600,3000,129.6
2,600,3500,149.6
2,600,4000,169.6
2,600,4500,189.6
2,600,5000,209.6
2,600,5500,229.6
2,900,-5500,231.4
2,900,-5000,211.4
2,900,-4500,171.4
2,900,-4000,171.4
2,900,-3500,151.4
2,900,-3000,131.4
2,900,-2500,111.4
2,900,-2000,91.4
2,900,-1600,75.4
2,900,-1200,59.4
2,900,-900,47.4
2,900,-600,35.4
2,900,-400,27.4
2,900,-200,19.4
2,900,0,19.4
2,900,200,19.4
2,900,400,27.4
2,900,600,35.4
2,900,900,47.4
2,900,1200,59.4
2,900,1600,75.4
2,900,2000,91.4
2,900,2500,111.4
2,900,3000,131.4
2,900,3500,151.4
2,900,4000,171.4
2,900,4500,191.4
2,900,5000,211.4
2,900,5500,231.4
2,1200,-5500,233.2
2,1200,-5000,213.2
2,1200,-4500,173.2
2,1200,-4000,173.2
2,1200,-3500,153.2
2,1200,-3000,133.2
2,1200,-2500,113.2
2,1200,-2000,93.2
2,1200,-1600,77.2
2,1200,-1200,61.2
2,1200,-900,49.2
2,1200,-600,37.2
2,1200,-400,29.2
2,1200,-200,21.2
2,1200,0,21.2
2,1200,200,21.2
2,1200,400,29.2
2,1200,600,37.2
2,1200,900,49.2
2,1200,1200,61.2
2,1200,1600,77.2
2,1200,2000,93.2
2,1200,2500,113.2
2,1200,3000,133.2
2,1200,3500,153.2
2,1200,4000,173.2
2,1200,4500,193.2
2,1200,5000,213.2
2,1200,5500,233.2
2,1600,-5500,235.6
2,1600,-5000,215.6
2,1600,-4500,175.6
2,1600,-4000,175.6
2,1600,-3500,155.6
2,1600,-3000,135.6
2,1600,-2500,115.6
2,1600,-2000,95.6
2,1600,-1600,79.6
2,1600,-1200,63.6
2,1600,-900,51.6
2,1600,-600,39.6
2,1600,-400,31.6
2,1600,-200,23.6
2,1600,0,23.6
2,1600,200,23.6
2,1600,400,31.6
2,1600,600,39.6
2,1600,900,51.6
2,1600,1200,63.6
2,1600,1600,79.6
2,1600,2000,95.6
2,1600,2500,115.6
2,1600,3000,135.6
2,1600,3500,155.6
2,1600,4000,175.6
2,1600,4500,195.6
2,1600,5000,215.6
2,1600,5500,235.6
2,2000,-5500,238
2,2000,-5000,218
2,2000,-4500,178
2,2000,-4000,178
2,2000,-3500,158
2,2000,-3000,138
2,2000,-2500,118
2,2000,-2000,98
2,2000,-1600,82
2,2000,-1200,66
2,2000,-900,54
2,2000,-600,42
2,2000,-400,34
2,2000,-200,26
2,2000,0,26
2,2000,200,26
2,2000,400,34
2,2000,600,42
2,2000,900,54
2,2000,1200,66
2,2000,1600,82
2,2000,2000,98
2,2000,2500,118
2,2000,3000,138
2,2000,3500,158
2,2000,4000,178
2,2000,4500,198
2,2000,5000,218
2,2000,5500,238
2,2500,-5500,241
2,2500,-5000,221
2,2500,-4500,181
2,2500,-4000,181
2,2500,-3500,161
2,2500,-3000,141
2,2500,-2500,121
2,2500,-2000,101
2,2500,-1600,85
2,2500,-1200,69
2,2500,-900,57
2,2500,-600,45
2,2500,-400,37
2,2500,-200,29
2,2500,0,29
2,2500,200,29
2,2500,400,37
2,2500,600,45
2,2500,900,57
2,2500,1200,69
2,2500,1600,85
2,2500,2000,101
2,2500,2500,121
2,2500,3000,141
2,2500,3500,161
2,2500,4000,181
2,2500,4500,201
2,2500,5000,221
2,2500,5500,241
2,3000,-5500,244
2,3000,-5000,224
2,3000,-4500,184
2,3000,-4000,184
2,3000,-3500,164
2,3000,-3000,144
2,3000,-2500,124
2,3000,-2000,104
2,3000,-1600,88
2,3000,-1200,72
2,3000,-900,60
2,3000,-600,48
2,3000,-400,40
2,3000,-200,32
2,3000,0,32
2,3000,200,32
2,3000,400,40
2,3000,600,48
2,3000,900,60
2,3000,1200,72
2,3000,1600,88
2,3000,2000,104
2,3000,2500,124
2,3000,3000,144
2,3000,3500,164
2,3000,4000,184
2,3000,4500,204
2,3000,5000,224
2,3000,5500,244
3,0,-5500,229.6
3,0,-5000,209.6
3,0,-4500,169.6
3,0,-4000,169.6
3,0,-3500,149.6
3,0,-3000,129.6
3,0,-2500,109.6
3,0,-2000,89.6
3,0,-1600,73.6
3,0,-1200,57.6
3,0,-900,45.6
3,0,-600,33.6
3,0,-400,25.6
3,0,-200,17.6
3,0,0,17.6
3,0,200,17.6
3,0,400,25.6
3,0,600,33.6
3,0,900,45.6
3,0,1200,57.6
3,0,1600,73.6
3,0,2000,89.6
3,0,2500,109.6
3,0,3000,129.6
3,0,3500,149.6
3,0,4000,169.6
3,0,4500,189.6
3,0,5000,209.6
3,0,5500,229.6
3,600,-5500,229.6
3,600,-5000,209.6
3,600,-4500,169.6
3,600,-4000,169.6
3,600,-3500,149.6
3,600,-3000,129.6
3,600,-2500,109.6
3,600,-2000,89.6
3,600,-1600,73.6
3,600,-1200,57.6
3,600,-900,45.6
3,600,-600,33.6
3,600,-400,25.6
3,600,-200,17.6
3,600,0,17.6
3,600,200,17.6
3,600,400,25.6
3,600,600,33.6
3,600,900,45.6
3,600,1200,57.6
3,600,1600,73.6
3,600,2000,89.6
3,600,2500,109.6
3,600,3000,129.6
3,600,3500,149.6
3,600,4000,169.6
3,600,4500,189.6
3,600,5000,209.6
3,600,5500,229.6
3,900,-5500,231.4
3,900,-5000,211.4
3,900,-4500,171.4
3,900,-4000,171.4
3,900,-3500,151.4
3,900,-3000,131.4
3,900,-2500,111.4
3,900,-2000,91.4
3,900,-1600,75.4
3,900,-1200,59.4
3,900,-900,47.4
3,900,-600,35.4
3,900,-400,27.4
3,900,-200,19.4
3,900,0,19.4
3,900,200,19.4
3,900,400,27.4
3,900,600,35.4
3,900,900,47.4
3,900,1200,59.4
3,900,1600,75.4
3,900,2000,91.4
3,900,2500,111.4
3,900,3000,131.4
3,900,3500,151.4
3,900,4000,171.4
3,900,4500,191.4
3,900,5000,211.4
3,900,5500,231.4
3,1200,-5500,233.2
3,1200,-5000,213.2
3,1200,-4500,173.2
3,1200,-4000,173.2
3,1200,-3500,153.2
3,1200,-3000,133.2
3,1200,-2500,113.2
3,1200,-2000,93.2
3,1200,-1600,77.2
3,1200,-1200,61.2
3,1200,-900,49.2
3,1200,-600,37.2
3,1200,-400,29.2
3,1200,-200,21.2
3,1200,0,21.2
3,1200,200,21.2
3,1200,400,29.2
3,1200,600,37.2
3,1200,900,49.2
3,1200,1200,61.2
3,1200,1600,77.2
3,1200,2000,93.2
3,1200,2500,113.2
3,1200,3000,133.2
3,1200,3500,153.2
3,1200,4000,173.2
3,1200,4500,193.2
3,1200,5000,213.2
3,1200,5500,233.2
3,1600,-5500,235.6
3,1600,-5000,215.6
3,1600,-4500,175.6
3,1600,-4000,175.6
3,1600,-3500,155.6
3,1600,-3000,135.6
3,1600,-2500,115.6
3,1600,-2000,95.6
3,1600,-1600,79.6
3,1600,-1200,63.6
3,1600,-900,51.6
3,1600,-600,39.6
3,1600,-400,31.6
3,1600,-200,23.6
3,1600,0,23.6
3,1600,200,23.6
3,1600,400,31.6
3,1600,600,39.6
3,1600,900,51.6
3,1600,1200,63.6
3,1600,1600,79.6
3,1600,2000,95.6
3,1600,2500,115.6
3,1600,3000,135.6
3,1600,3500,155.6
3,1600,4000,175.6
3,1600,4500,195.6
3,1600,5000,215.6
3,1600,5500,235.6
3,2000,-5500,238
3,2000,-5000,218
3,2000,-4500,178
3,2000,-4000,178
3,2000,-3500,158
3,2000,-3000,138
3,2000,-2500,118
3,2000,-2000,98
3,2000,-1600,82
3,2000,-1200,66
3,2000,-900,54
3,2000,-600,42
3,2000,-400,34
3,2000,-200,26
3,2000,0,26
3,2000,200,26
3,2000,400,34
3,2000,600,42
3,2000,900,54
3,2000,1200,66
3,2000,1600,82
3,2000,2000,98
3,2000,2500,118
3,2000,3000,138
3,2000,3500,158
3,2000,4000,178
3,2000,4500,198
3,2000,5000,218
3,2000,5500,238
3,2500,-5500,241
3,2500,-5000,221
3,2500,-4500,181
3,2500,-4000,181
3,2500,-3500,161
3,2500,-3000,141
3,2500,-2500,121
3,2500,-2000,101
3,2500,-1600,85
3,2500,-1200,69
3,2500,-900,57
3,2500,-600,45
3,2500,-400,37
3,2500,-200,29
3,2500,0,29
3,2500,200,29
3,2500,400,37
3,2500,600,45
3,2500,900,57
3,2500,1200,69
3,2500,1600,85
3,2500,2000,101
3,2500,2500,121
3,2500,3000,141
3,2500,3500,161
3,2500,4000,181
3,2500,4500,201
3,2500,5000,221
3,2500,5500,241
3,3000,-5500,244
3,3000,-5000,224
3,3000,-4500,184
3,3000,-4000,184
3,3000,-3500,164
3,3000,-3000,144
3,3000,-2500,124
3,3000,-2000,104
3,3000,-1600,88
3,3000,-1200,72
3,3000,-900,60
3,3000,-600,48
3,3000,-400,40
3,3000,-200,32
3,3000,0,32
3,3000,200,32
3,3000,400,40
3,3000,600,48
3,3000,900,60
3,3000,1200,72
3,3000,1600,88
3,3000,2000,104
3,3000,2500,124
